,date,breadth,stocks_above_ma,valid_stocks
120,2024-09-02,74.89878542510121,370,494
121,2024-09-03,70.64777327935222,349,494
122,2024-09-04,69.23076923076923,342,494
123,2024-09-05,65.9919028340081,326,494
124,2024-09-06,62.145748987854255,307,494
125,2024-09-09,66.19433198380567,327,494
126,2024-09-10,66.39676113360325,328,494
127,2024-09-11,67.61133603238866,334,494
128,2024-09-12,69.02834008097166,341,494
129,2024-09-13,73.07692307692307,361,494
130,2024-09-16,73.48178137651821,363,494
131,2024-09-17,75.10121457489879,371,494
132,2024-09-18,74.69635627530364,369,494
133,2024-09-19,79.35222672064778,392,494
134,2024-09-20,77.1255060728745,381,494
135,2024-09-23,79.1497975708502,391,494
136,2024-09-24,79.95951417004049,395,494
137,2024-09-25,75.91093117408907,375,494
138,2024-09-26,80.76923076923077,399,494
139,2024-09-27,82.38866396761134,407,494
140,2024-09-30,81.45161290322581,404,496
141,2024-10-01,78.42741935483872,389,496
142,2024-10-02,76.81451612903226,381,496
143,2024-10-03,73.79032258064517,366,496
144,2024-10-04,77.21774193548387,383,496
145,2024-10-07,73.58870967741935,365,496
146,2024-10-08,74.39516129032258,369,496
147,2024-10-09,77.21774193548387,383,496
148,2024-10-10,76.81451612903226,381,496
149,2024-10-11,78.83064516129032,391,496
150,2024-10-14,81.04838709677419,402,496
151,2024-10-15,79.23387096774194,393,496
152,2024-10-16,80.44354838709677,399,496
153,2024-10-17,80.44354838709677,399,496
154,2024-10-18,81.65322580645162,405,496
155,2024-10-21,78.2258064516129,388,496
156,2024-10-22,75.40322580645162,374,496
157,2024-10-23,73.58870967741935,365,496
158,2024-10-24,73.79032258064517,366,496
159,2024-10-25,71.7741935483871,356,496
160,2024-10-28,73.38709677419355,364,496
161,2024-10-29,72.58064516129032,360,496
162,2024-10-30,70.96774193548387,352,496
163,2024-10-31,67.33870967741935,334,496
164,2024-11-01,67.54032258064517,335,496
165,2024-11-04,69.55645161290323,345,496
166,2024-11-05,73.99193548387096,367,496
167,2024-11-06,74.19354838709677,368,496
168,2024-11-07,75.40322580645162,374,496
169,2024-11-08,75.20161290322581,373,496
170,2024-11-11,74.59677419354838,370,496
171,2024-11-12,71.16935483870968,353,496
172,2024-11-13,71.7741935483871,356,496
173,2024-11-14,70.16129032258065,348,496
174,2024-11-15,68.34677419354838,339,496
175,2024-11-18,68.14516129032258,338,496
176,2024-11-19,66.73387096774194,331,496
177,2024-11-20,68.14516129032258,338,496
178,2024-11-21,70.76612903225806,351,496
179,2024-11-22,70.76612903225806,351,496
